Name,Type,Power,Accuracy,Category,Description,Default Archetypes
Thrash,Fighting,75,100,Physical,A wild thrashing attack that damages the user slightly.,Fauna;Rock;Human;Food;Mecha;Spirits
Smash,Fighting,50,100,Physical,A solid strike with fists or body.,Fauna;Rock;Human;Food;Mecha;Kami;Spirits;Flora
Crash,Fighting,60,90,Physical,A devastating charging attack. User loses some HP from impact.,Fauna;Rock;Human;Food;Mecha
Bash,Fighting,55,95,Physical,A forceful bash that may lower opponent's Defense.,Fauna;Rock;Human;Food;Kami;Spirits;Flora
Mash,Fighting,45,100,Physical,Rapid strikes that wear down the opponent.,Fauna;Food;Human;Mecha;Spirits;Flora
Lash,Fighting,40,95,Physical,A whipping lash attack with moderate power.,Fauna;Human;Spirits;Food;Flora;Kami
Jab,Fighting,30,100,Physical,A quick punch at the opponent. Has a high chance to hit first.,Fauna;Food;Human;Mecha;Kami;Spirits;Flora;Rock
Cross Counter,Fighting,60,100,Physical,A powerful counter-punch. Damage increases if the opponent attacked last turn.,Human;Rock;Fauna;Food
Seismic Slam,Fighting,70,90,Physical,A heavy strike that shakes the ground. May lower opponent's Defense.,Rock;Human;Food;Fauna
Sunder,Fighting,65,85,Physical,Inflicts minor damage and a defense debuff on the opponent.,Rock;Human;Kami;Fauna
Cascade,Fighting,65,95,Physical,Increases priority with each use. Medium damage.,Fauna;Mecha;Spirits
Guillotine,Fighting,80,75,Physical,A devastating finishing blow. More powerful if the opponent's HP is already low.,Human;Fauna
Cataclysm,Fighting,95,80,Physical,An earth-shattering strike. Lower user's Defense after use.,Rock;Human
Crackle,Electric,35,100,Special,A crackling burst of electricity.,Mecha;Kami;Spirits;Fauna;Rock
Spark,Electric,40,100,Special,A burst of electricity strikes the opponent.,Mecha;Kami;Fauna;Human;Food
Flicker,Electric,45,95,Special,Quick electrical bursts that light up the area.,Mecha;Spirits;Food;Kami;Fauna
Blitz,Electric,70,90,Physical,A fast electrical strike that may paralyze.,Mecha;Fauna;Human
Volt Tap,Electric,40,100,Physical,The user strikes with electric energy. May paralyze.,Mecha;Fauna;Spirits;Human;Rock
Discharge,Electric,70,100,Special,A powerful burst of electricity. May paralyze nearby opponents.,Mecha;Kami
Thunderstrike,Electric,75,90,Physical,The user channels lightning into a strike. May paralyze the opponent.,Mecha;Rock
Thunderbolt,Electric,85,100,Special,A powerful electrical surge. May paralyze the opponent.,Mecha
Buffoon,Buff,—,—,Status,A silly dance that confuses the opponent and raises user's Defense.,Food;Spirits;Flora
Typhoon,Wind,80,85,Special,A massive typhoon engulfs the battlefield.,Spirits;Fauna
Gale,Wind,60,100,Special,A strong gale wind pushes the opponent back.,Spirits;Fauna;Flora
Gust,Wind,40,100,Special,A gust of wind strikes the opponent from above.,Spirits;Fauna;Kami;Food;Human
Slash,Wind,45,100,Physical,A sharp cut with claws or blades. High critical hit ratio.,Fauna;Human;Spirits;Mecha;Flora;Kami
Cyclone,Wind,65,100,Special,A spinning vortex of wind. Lowers opponent's accuracy by 1 stage.,Spirits;Kami;Flora
Razor Wind,Wind,70,95,Physical,Sharp winds slice the opponent. High critical hit ratio.,Fauna;Spirits;Human
